Source,Target
504172,4836
504172,6977
504172,769
504172,438808
504172,436
405774,131631
405774,294254
405774,198663
405774,110415
405774,185
429197,508
429197,640
429197,769
429197,424
429197,316029
424694,369557
424694,1584
424694,397538
424694,354912
424694,369192
369972,3558
369972,10734
369972,424
369972,769
369972,157336
375262,449176
375262,26280
375262,184352
375262,370663
375262,376867
446021,77
446021,13
446021,1368
446021,1369
446021,11778
426426,112160
426426,13
426426,141
426426,424694
426426,398173
484247,336843
484247,101299
484247,346364
484247,454983
484247,207932
332562,525
332562,254470
332562,458737
332562,424694
332562,429191
398173,10781
398173,1696
398173,5486
398173,12521
398173,984
470044,281957
470044,392044
470044,671
470044,674
470044,101299
407436,278927
407436,34584
407436,10140
407436,281957
407436,449176
438808,261023
438808,429203
438808,90
438808,9600
429203,75656
429203,339403
429203,359412
429203,968
429203,273481
569547,62
569547,78
569547,335984
569547,264660
569547,296
487558,451915
487558,769
487558,424
487558,334543
487558,443009
458594,74997
458594,956
458594,156022
458594,238636
458594,473149
489999,300668
489999,338970
489999,284276
489999,43923
489999,340677
399360,281957
399360,290512
399360,309050
399360,44363
399360,75174
446101,4421
446101,342737
446101,10035
446101,336804
446101,366696
447332,110415
447332,405774
447332,381283
447332,19908
447332,84226
334543,424
334543,769
334543,451915
334543,425336
455207,50619
455207,8966
455207,281957
455207,9880
455207,222935
157336,126889
157336,568
157336,75612
157336,54138
157336,2048
446807,65754
446807,281957
446807,392044
446807,336843
446807,9654
450465,155
450465,1927
450465,141052
450465,1452
450465,1924
400535,1266
400535,4771
400535,562
400535,261023
400535,1701
155,272
155,49026
155,209112
155,44912
155,156022
489931,75656
489931,269795
489931,37797
489931,5143
489931,209247
399055,381284
399055,440298
399055,150689
399055,9738
399055,36647
315635,49521
315635,1452
315635,1924
315635,9531
315635,8536
466411,8966
466411,222935
466411,198663
466411,131631
466411,445651
454227,640
454227,424
454227,769
454227,443009
454227,487558
210577,75780
210577,346364
210577,336843
210577,392044
210577,65754
537996,9394
537996,995
537996,14128
537996,872
537996,10156
449459,197
449459,627
449459,399402
449459,428399
449459,180863
460071,396371
460071,640
460071,769
460071,424
460071,316029
474354,336843
474354,7984
474354,1645
474354,390051
474354,13655
150689,10882
150689,809
150689,808
150689,11224
150689,2312
263115,272
263115,49521
263115,155
263115,297762
263115,141052
440472,10098
440472,404245
337167,281957
337167,392044
337167,341174
337167,867
337167,11027
316029,424694
316029,640
316029,769
316029,424
316029,399404
451925,817
451925,13
451925,38
451925,398818
451925,449176
286217,157336
286217,568
286217,274870
286217,336843
286217,101299
205596,467952
